X,Y,,,,Microprobe Profile,Distance,Mg #,,,,
0,141.318,,,,,0,0.91520122,,,grey scale ,Mg#
0.1587,132.864,,,,,2.504575812,0.912315803,,,140,0.8998
0.3175,124,,,,,5.000672766,0.911308932,,,,
0.4762,119.364,,,,,7.505248578,0.911379088,,,,
0.6349,113.5,,,,,10.0112414,0.910356073,,,,
0.7937,110.318,,,,,12.51581721,0.905603971,,,,
0.9524,104.818,,,,,15.01191416,0.905702642,,,,
1.1111,102.682,,,,,17.51648997,0.904818077,,,,
1.2698,98.409,,,,,20.02248279,0.903173237,,,,
1.4286,99.227,,,,,22.5270586,0.902335509,,,,
1.5873,92.682,,,,,25.02315556,0.901704174,,,,
1.746,90.636,,,,,27.52773137,0.90005352,,,,
1.9048,88.5,,,,,30.03372419,0.89902327,,,,
2.0635,88.318,,,,,32.5383,0.897708358,,,,
2.2222,88.636,,,,,35.03439695,0.898126615,,,,
2.381,84.409,,,,,37.53897276,0.898253575,,,,
2.5397,82.818,,,,,40.04496558,0.896959938,,,,
2.6984,81.091,,,,,42.54954139,0.896685737,,,,
2.8571,81.864,,,,,45.04563835,0.897597465,,,,
3.0159,80.727,,,,,47.55021416,0.896036985,,,,
3.1746,81.864,,,,,,,,,,
3.3333,80.227,,,,,,,,,,
3.4921,78.091,,,,,,,,,,
3.6508,76.955,,,,,,,,,,
3.8095,76.227,,,,,,,,,,
3.9683,75.5,,,,,,,,,,
4.127,75.545,,,,,,,,,,
4.2857,72.682,,,,,,,,,,
4.4444,72.455,,,,,,,,,,
4.6032,69.364,,,,,,,,,,
4.7619,70.273,,,,,,,,,,
4.9206,68.909,,,,,,,,,,
5.0794,68.182,,,,,,,,,,
5.2381,67.364,,,,,,,,,,
5.3968,67.955,,,,,,,,,,
5.5556,64.545,,,,,,,,,,
5.7143,66.773,,,,,,,,,,
5.873,67.045,,,,,,,,,,
6.0317,67.364,,,,,,,,,,
6.1905,67.409,,,,,,,,,,
6.3492,66.273,,,,,,,,,,
6.5079,67.227,,,,,,,,,,
6.6667,64.636,,,,,,,,,,
6.8254,63.455,,,,,,,,,,
6.9841,63.545,,,,,,,,,,
7.1429,64.273,,,,,,,,,,
7.3016,62.182,,,,,,,,,,
7.4603,63.818,,,,,,,,,,
7.619,64.409,,,,,,,,,,
7.7778,66.273,,,,,,,,,,
7.9365,63.455,,,,,,,,,,
8.0952,62.864,,,,,,,,,,
8.254,60.636,,,,,,,,,,
8.4127,60.364,,,,,,,,,,
8.5714,59.682,,,,,,,,,,
8.7302,61.591,,,,,,,,,,
8.8889,60.455,,,,,,,,,,
9.0476,61.182,,,,,,,,,,
9.2063,59.136,,,,,,,,,,
