Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02,,,,,,,
1251.596,1.105991775,2.481880627,1.863080709,1.290663266,1.799649187,2.699035779,1.572152261,0.928009321,0.801202562,2.474104924,1.250773821,1.268303517,1.232013575,0.608749357,0.856674831,1.18050752,1.177349561,0.896713791,1.177056915,1.14737193,1.075654872,1.587458714,1.682625345,1.691128364,1.648481516,0.816709674,0.981641195,1.190943841,1.423070498,1.61937112,,,,,,,
1253.524,1.058874952,2.397361109,1.82378626,1.237791206,1.707835981,2.656515462,1.533952615,0.895336333,0.773253941,2.391787945,1.202527781,1.205245502,1.196385804,0.586795413,0.819622413,1.149431964,1.113454866,0.869312466,1.148876643,1.11577302,1.044035583,1.539983894,1.629901755,1.628819862,1.578335456,0.789790793,0.938549011,1.164361585,1.377844541,1.532820665,,,,,,,
1255.453,1.01450062,2.316490202,1.7850509,1.188269817,1.622381061,2.614302263,1.497453152,0.864435636,0.74658459,2.314096074,1.157351913,1.146521798,1.16265079,0.566057816,0.784605844,1.119942615,1.054328064,0.843321409,1.121980538,1.085603746,1.013954869,1.494576093,1.579553942,1.570111313,1.512324441,0.764305303,0.898015259,1.138382686,1.334741739,1.452951736,,,,,,,
1257.381,0.972760559,2.239177985,1.746907115,1.141956394,1.543002703,2.57243409,1.462596823,0.835240917,0.721151253,2.240842684,1.115114364,1.091944854,1.130733769,0.546491069,0.751546467,1.091977204,0.999753134,0.818688907,1.096324392,1.05681639,0.985357816,1.451175014,1.531514184,1.514857849,1.450288053,0.740200012,0.859938837,1.113009115,1.293694792,1.379448524,,,,,,,
1259.31,0.933546548,2.165334532,1.709387396,1.098708233,1.469419183,2.530948851,1.429326579,0.807685862,0.696910672,2.171841145,1.075683283,1.041327119,1.100559978,0.528049676,0.720365619,1.065473462,0.949514052,0.795363247,1.071863996,1.02936324,0.958189509,1.409720362,1.485714755,1.462914603,1.392065874,0.717421724,0.824218643,1.088242842,1.254636406,1.311995218,,,,,,,
1261.238,0.896750368,2.094869922,1.672524229,1.058382632,1.401348777,2.489884454,1.397585372,0.781704157,0.673819591,2.106904828,1.038926819,0.994481041,1.072054653,0.510688138,0.690984643,1.04036912,0.903394795,0.773292716,1.048555143,1.00319658,0.932395034,1.370151838,1.442087933,1.414136707,1.337497484,0.695917244,0.790753575,1.06408584,1.217499281,1.250276008,,,,,,,
1263.167,0.862263799,2.027694231,1.636350104,1.020836886,1.338509762,2.449278807,1.367316154,0.757229489,0.651834753,2.045847103,1.004713121,0.951219067,1.045143031,0.494360959,0.663324878,1.016601911,0.861179341,0.752425601,1.026353622,0.978268695,0.907919478,1.332409148,1.400565993,1.368379293,1.286422463,0.67563338,0.759442531,1.040540077,1.182216122,1.193975083,,,,,,,0.8375
1265.095,0.82997862,1.963717536,1.600897507,0.985928293,1.280620414,2.409169819,1.338461875,0.734195543,0.6309129,1.988481342,0.972910335,0.911353648,1.019750349,0.479022642,0.637307665,0.994109566,0.822651667,0.732710187,1.005215227,0.95453187,0.884707926,1.296431993,1.361081212,1.325497493,1.238680394,0.656516935,0.730184411,1.017607526,1.14871963,1.142776633,,,,,,,
1267.024,0.799786612,1.902849913,1.566198928,0.953514147,1.227399009,2.369595397,1.310965489,0.712536007,0.611010776,1.934620915,0.943386612,0.874697231,0.995801843,0.464627689,0.612854343,0.972829816,0.78759575,0.714094763,0.985095748,0.931938391,0.862705463,1.262160078,1.323565867,1.28534644,1.194110857,0.638514717,0.702878112,0.995290158,1.116942509,1.096364848,,,,,,,
1268.952,0.771579554,1.84500144,1.532286855,0.923451745,1.178563823,2.33059345,1.284769945,0.692184566,0.592085124,1.884079193,0.9160101,0.841062265,0.973222751,0.451130604,0.589886252,0.952700393,0.755795567,0.696527613,0.965950978,0.910440543,0.841857175,1.229533105,1.287952233,1.247781265,1.152553432,0.62157353,0.677422533,0.973589942,1.086817461,1.054423916,,,,,,,
1270.88,0.745249226,1.790082192,1.499193775,0.895598384,1.133833132,2.292201886,1.259818195,0.673074906,0.574092687,1.836669548,0.890648947,0.810261198,0.951938308,0.438485888,0.568324734,0.933659028,0.727035094,0.679957026,0.947736706,0.88999061,0.822108149,1.198490779,1.254172587,1.2126571,1.113847702,0.60564018,0.653716571,0.952508851,1.058277189,1.016638027,,,,,,,
1272.809,0.720687408,1.738002247,1.466952177,0.86981136,1.092925213,2.254458614,1.236053192,0.655140714,0.556990207,1.79220535,0.867171302,0.782106479,0.931873751,0.426648046,0.548091128,0.915643454,0.70109831,0.664331288,0.930408727,0.870540878,0.80340347,1.168972803,1.222159206,1.179829079,1.077833247,0.590661473,0.631659127,0.932048855,1.031254397,0.982691371,,,,,,,
1274.738,0.69778588,1.688671682,1.43559455,0.845947969,1.055558341,2.21740154,1.213417886,0.638315676,0.540734429,1.750499969,0.845445313,0.756410557,0.912954318,0.415571579,0.529106774,0.898591401,0.677769192,0.649598686,0.91392283,0.852043633,0.785688224,1.140918879,1.191844365,1.149152333,1.044349647,0.576584214,0.611149096,0.912211924,1.005681785,0.952268138,,,,,,,
1276.666,0.676436422,1.642000572,1.40515338,0.823865508,1.021450792,2.181068574,1.191855228,0.622533479,0.525282095,1.711366778,0.825339128,0.732985879,0.895105244,0.405210991,0.511293013,0.882440601,0.656831716,0.635707506,0.898234807,0.834451158,0.768907496,1.114268712,1.163160341,1.120481994,1.013236485,0.563355209,0.592085379,0.893000031,0.981492058,0.925052516,,,,,,,
1278.594,0.656530814,1.597898996,1.375661157,0.803421273,0.990320844,2.145497624,1.171308172,0.607727807,0.510589947,1.674619145,0.806720897,0.711644895,0.878251767,0.395520784,0.494571185,0.867128785,0.638069859,0.622606035,0.88330045,0.81771574,0.753006372,1.088962005,1.13603941,1.093673194,0.98433334,0.550921264,0.574366874,0.874415144,0.958617919,0.900728696,,,,,,,
1280.523,0.637960836,1.556277029,1.347150369,0.78447256,0.961886772,2.110726598,1.151719667,0.593832349,0.49661473,1.640070444,0.789458767,0.692200052,0.862319123,0.386455462,0.47886263,0.852593686,0.621267599,0.610242559,0.86907555,0.801789664,0.737929939,1.064938461,1.110413848,1.068581066,0.957479795,0.539229183,0.557892478,0.856459237,0.936992069,0.878980866,,,,,,,
1282.452,0.620915366,1.517142192,1.319475603,0.76701824,0.936754291,2.076974339,1.13301805,0.580852261,0.483347243,1.610290944,0.773462287,0.674688392,0.847372553,0.37805252,0.464124944,0.838771275,0.606417931,0.598585071,0.855498713,0.786641095,0.723648822,1.042010478,1.086081258,1.045495181,0.93266251,0.528298252,0.542632121,0.839294704,0.916689566,0.86013998,,,,,,,
1284.38,0.604568156,1.479967729,1.293154821,0.750382016,0.912372875,2.043895653,1.115101302,0.568503557,0.470625468,1.581338539,0.758200106,0.65804453,0.833087376,0.370061234,0.450046972,0.825500909,0.59241685,0.587462689,0.842476366,0.772107174,0.709961781,1.020276715,1.063133686,1.023137821,0.90922617,0.517887097,0.528185304,0.822740478,0.897344956,0.842006905,,,,,,,
1286.308,0.588939783,1.444745942,1.268258575,0.734540235,0.889032662,2.01179835,1.097997188,0.556756748,0.45843688,1.551463764,0.743702289,0.642377304,0.819264602,0.36247055,0.436620892,0.812736493,0.579355198,0.576847528,0.829992064,0.758192894,0.696862329,0.999689199,1.041551965,1.001673217,0.886891339,0.507966061,0.514499465,0.806848226,0.878943644,0.824707623,,,,,,,
1288.237,0.574002851,1.412034808,1.244731731,0.719395548,0.86653388,1.980825913,1.081601302,0.545560425,0.446730895,1.519436067,0.729856392,0.627642091,0.805856505,0.35525396,0.423789323,0.800407506,0.567078233,0.566695037,0.817987605,0.744841177,0.684297648,0.980171231,1.021193145,0.981039093,0.865751276,0.498492326,0.501502961,0.791574273,0.861451462,0.807992129,,,,,,,
1290.166,0.559774619,1.381972215,1.222488344,0.704929477,0.845181672,1.950986173,1.065829244,0.534887837,0.435488192,1.489972329,0.716645702,0.613816733,0.792906842,0.348400529,0.411540582,0.788502011,0.555533382,0.556991384,0.806445969,0.732035699,0.672258066,0.961682456,1.00204723,0.96136379,0.845926434,0.489455675,0.48917238,0.776915799,0.844850571,0.792081509,,,,,,,
1292.094,0.54621103,1.354051038,1.201403287,0.691060071,0.82480627,1.922374754,1.050554803,0.524702839,0.424677585,1.462247464,0.703961199,0.600714966,0.780366704,0.341888301,0.399825618,0.776979487,0.544574635,0.547706702,0.795344947,0.719734563,0.660705018,0.944077363,0.983980403,0.942572755,0.827095248,0.480821546,0.47745917,0.76287294,0.829062924,0.776804991,,,,,,,
1294.022,0.533306737,1.328081685,1.181429249,0.677778005,0.805493493,1.894941361,1.035809417,0.514995535,0.414298494,1.436349444,0.691789398,0.588257598,0.768265539,0.335706272,0.388632377,0.765831134,0.534183527,0.538831326,0.784666273,0.707942132,0.649628639,0.927294241,0.966930477,0.924627092,0.809254209,0.472574416,0.466347385,0.749486108,0.814091245,0.762163877,,,,,,,
1295.951,0.521011707,1.30355998,1.162448249,0.665020469,0.787175141,1.868427816,1.021574066,0.505729882,0.404319999,1.411661109,0.680078679,0.576430754,0.756590337,0.329831519,0.377920882,0.755024834,0.524323437,0.530332679,0.774345378,0.696628136,0.638993034,0.911247754,0.95079513,0.907427286,0.792438729,0.464688581,0.455774292,0.736697178,0.799847108,0.748077122,,,,,,,
1297.88,0.509316065,1.280365643,1.144355203,0.652772728,0.76983187,1.842852973,1.00783883,0.496884728,0.394744914,1.388124912,0.668825313,0.565263218,0.745346221,0.324250389,0.367679132,0.744531407,0.514972882,0.52219132,0.764397532,0.6857812,0.628784959,0.89597569,0.935543229,0.891012143,0.776620168,0.457147138,0.445718099,0.724497173,0.786285165,0.734555594,,,,,,,
1299.808,0.498199117,1.258021503,1.127082421,0.640989053,0.75337691,1.818090245,0.994558093,0.488436204,0.385555987,1.365517289,0.657954756,0.554635383,0.734499897,0.318942976,0.357873148,0.734308337,0.506063018,0.514378368,0.754812294,0.67536911,0.618976797,0.88140071,0.921077319,0.875317969,0.761728119,0.449925925,0.436147471,0.712846584,0.773347164,0.721530602,,,,,,,
1301.736,0.487652389,1.236883827,1.110599643,0.629667637,0.737799288,1.794167432,0.981750748,0.480371839,0.376745595,1.343876051,0.647445785,0.54451836,0.724087614,0.313897967,0.348493193,0.724368663,0.497561763,0.506886698,0.745574537,0.665380632,0.609558662,0.867471817,0.90733489,0.860340159,0.747632693,0.443016097,0.42704954,0.701711454,0.761021672,0.709000022,,,,,,,
