Sample	Thickness	SIO2	TIO2	AL2O3	FE2O3	FEO	MNO	MGO	CAO	NA2O	K2O	P2O5	H2O	CO2	Density
FI38MI03	61.70585792	47.509845	1.66282	16.30402811	0	10.608605	0.19427	4.888985	10.4753	3.246585	0.533905	0.175180722	2.379579047	0.019278064	2726.761642
JFL19AMI02	42.69627431	47.33980667	0.73841	17.74360292	0	7.469443333	0.112363333	5.388233333	14.57330667	2.740336667	0.95053	0.185851552	2.592370962	0.051885301	2700.805907
JFL19CMI03	69.60587576	48.06614	0.700516667	15.61968262	0	8.199526667	0.148216667	6.50785	13.47656	2.4751	0.853773333	0.179025098	2.320867423	0.048168321	2716.641787
JFL30AMI03	47.90648654	44.38165333	0.953803333	18.84747335	0	8.463956667	0.14325	5.610673333	13.67164667	2.49149	0.744926667	0.195039012	2.301685014	0.063844168	2739.753736
SH01MI14	37.15176749	48.7851	3.04897	13.78294939	0	13.51576667	0.28879	4.73074	8.09687	3.244753333	0.852383333	0.254012229	1.715652252	0.046684049	2785.311682
SH01MI24	70.40789962	51.63618333	2.117873333	15.62573368	0	11.48816333	0.223003333	4.016136667	7.255266667	4.023606667	0.93546	0.271971834	1.914407133	0.057150857	2698.009112
SH01MI25	72.50580046	51.86104333	2.002676667	12.64134556	0	14.67116667	0.2826	3.920953333	7.431876667	3.550516667	0.835923333	0.293318106	1.620305049	0.047293644	2756.553508
SH01MI26	61.07500925	49.45685	2.267093333	16.094279	0	12.60939333	0.2653	4.111913333	7.538986667	4.0902	0.778076667	0.246469068	1.628089522	0.076565003	2744.944745
SH54MI06	56.54102413	51.25940667	1.72532	16.01074119	0	11.75151	0.23855	3.840893333	7.21386	4.027646667	0.781666667	0.232014674	1.978969275	0.053902023	2694.183986
SH58MI04	54.10257995	46.90232	1.935713333	18.25972295	0	11.18875667	0.194053333	4.73513	8.636576667	3.514913333	0.530383333	0.191762627	1.950493102	0.071701286	2737.697052
