Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
1251.596,2.776812333,1.590478,1.526318667,0.829187522,1.341454333,1.582109556,1.158864,1.082574,0.520485333,1.525471333,1.117411333,1.273272667,2.47863325,0.99891755,1.24303425,1.6428685,1.287040333,0.610703367,1.850527,1.234523667,1.222213111,0.906296933,2.475345667,1.287431333,1.100786667,1.273221083,2.334900667,0.977950633,1.037682667,1.016606333,1.301349333,0.642189333,1.002942633,1.67825,1.163222333,1.296386667,1.275312,0.86662895,0.985570433,1.835439,0.7727399,1.103375667,2.695477667,0.802185533,1.574115,0.62385335,0.624373467,0.932302175,0.9925146,0.76895425,0.803615,1.518758667,0.8189981,1.5383325,1.384167667,2.5314995,0.8530237,1.259002,0.8114072,0.9503538,1.135392,1.264738,1.2832135,1.083953556,1.157156,1.238182333,1.135396333,2.2061385,1.261657667,1.408740333,1.086089667,0.7755617,0.612424633,0.8617356,1.111695667,1.183069667,1.448845333,1.1940795,0.899448133,1.007124367,1.327001,1.376373222,0.955305,0.883288333,1.320957333,0.816438767,1.355492,0.951242167,1.464469667,1.0806775,1.09714,1.068889667,1.178526,1.149601667,0.974951233,1.1705425,1.49126,1.319142,1.078905333,1.599483889,1.328141,1.586031,1.327904333,0.996019433,0.599405367,1.099539,1.005406633,1.679842,1.173560333,1.708385,1.710157667,0.887053833,0.970725033,1.25104725,1.659373111,1.281537333,1.142394444,1.159998,0.820565933,0.9877629,1.12826,1.081073,0.844923033,0.749237133,1.191177,0.88463905,1.323237,1.427152333,1.6523435,1.464962333,1.578532333,0.739680833,0.788437033,0.7630982,0.778085675,1.186589333,1.606874333
1253.524,2.525474333,1.530569667,1.461591,0.803003089,1.279495333,1.528289556,1.127368,1.057011333,0.4970932,1.452132,1.060605667,1.233116333,2.38973025,0.960672975,1.207838,1.5696775,1.250016,0.5855153,1.819098,1.18873,1.168908333,0.861782033,2.204083333,1.223750333,1.072792333,1.240221083,2.27267,0.931892067,1.009188833,0.973170733,1.240031333,0.623395433,0.9629077,1.627218,1.130652667,1.267511333,1.236865,0.8378123,0.958851267,1.712297667,0.7369749,1.080422667,2.649407333,0.7720168,1.534677667,0.60449795,0.6112359,0.8963821,0.96253785,0.75549485,0.773830067,1.475936333,0.8052925,1.491006,1.343927667,2.416173,0.838785575,1.203597,0.7853424,0.922751,1.105576,1.227365667,1.206368,1.053040111,1.1072815,1.199468333,1.104450667,2.093067,1.235658333,1.325247667,1.047262333,0.745058033,0.587563533,0.820617433,1.070361556,1.150200667,1.408255667,1.115838,0.8699845,0.9880641,1.272505333,1.332116778,0.919616367,0.855095267,1.274030333,0.7925098,1.313007,0.923383033,1.419089333,1.0539885,1.057338,1.036366667,1.149121,1.116101333,0.944182867,1.1427775,1.437382,1.28009,1.044722,1.541375222,1.284515667,1.5398365,1.28717,0.9486901,0.581426333,1.065961,0.957487633,1.628677333,1.121734667,1.630090667,1.621487778,0.870376967,0.941711267,1.22798,1.582354444,1.253872333,1.108517444,1.125739,0.790847367,0.9399704,1.0968,1.0389097,0.810552833,0.717139267,1.1637645,0.8589054,1.247560333,1.378182667,1.53827975,1.393052667,1.522231667,0.723720967,0.7548753,0.7306727,0.7547467,1.139511333,1.521950333
1255.453,2.545504667,1.473330333,1.399413667,0.781468256,1.230325333,1.484907111,1.0994375,1.032468333,0.4761197,1.386517333,1.011187667,1.196251333,2.3073935,0.926391,1.1731435,1.505811,1.215148222,0.562867367,1.78718225,1.147472,1.119286556,0.822488367,2.165288333,1.168118,1.044752667,1.2102335,2.213616667,0.8908208,0.9827432,0.933966733,1.185995667,0.606044467,0.926457367,1.576799333,1.100772667,1.241237,1.201399,0.811095575,0.933917567,1.612738,0.705537967,1.060408667,2.609946,0.7439198,1.498535,0.586605,0.599083,0.863608875,0.93924755,0.74291015,0.7463795,1.434358,0.793899667,1.4449535,1.307570667,2.287415,0.826156125,1.155686,0.7609038,0.897298533,1.076083,1.193670667,1.142006,1.025597311,1.0647935,1.161216333,1.075450667,1.9827005,1.211579667,1.257088333,1.012742333,0.717512833,0.565183533,0.783584167,1.031494889,1.119604,1.370180667,1.0509325,0.842785033,0.970699267,1.223115333,1.286777111,0.887086167,0.8296039,1.231612,0.770289667,1.273472667,0.897452,1.378112,1.028663,1.021239333,1.006145333,1.1217185,1.085314,0.915551467,1.1163255,1.388025,1.250702,1.013414333,1.49092,1.243723333,1.495314,1.249940333,0.906304133,0.565057567,1.034916,0.914084,1.580381667,1.077312667,1.564639667,1.551971111,0.8543634,0.915969467,1.20619025,1.507418444,1.227155,1.073598889,1.094263,0.763582867,0.896637267,1.067961667,1.0019653,0.780232133,0.688248367,1.1383055,0.8355698,1.182645333,1.333247667,1.44499625,1.328579667,1.469387,0.7100758,0.724708433,0.7015684,0.73421905,1.097424667,1.444636333
1257.381,2.399452333,1.417822,1.340414333,0.761686467,1.189095,1.458661556,1.075311,1.0084899,0.456989767,1.325894667,0.9669204,1.161069333,2.2409385,0.89462655,1.143560917,1.4460375,1.181446333,0.542169267,1.75325575,1.109141667,1.073852778,0.787453367,2.040895667,1.117209667,1.017719767,1.181073833,2.157223333,0.8536095,0.957958433,0.8977061,1.136792,0.590021467,0.8923825,1.527846,1.072907,1.215752333,1.167698333,0.7858329,0.910331967,1.523224333,0.6775148,1.040514667,2.572928,0.717087,1.462939,0.5698473,0.587838533,0.83316285,0.9156662,0.7304274,0.7201854,1.393415667,0.783148667,1.4054645,1.272726667,2.158614,0.81490805,1.111542,0.737579933,0.873235133,1.0493925,1.163469333,1.0855155,0.998730533,1.027932,1.126508667,1.047189333,1.875846,1.188289,1.197286,0.981531367,0.692155233,0.544658833,0.749148233,0.995198578,1.090557,1.332870333,0.99241225,0.817260633,0.952971067,1.177933333,1.243498889,0.8569967,0.806391333,1.190735667,0.749324967,1.235345,0.873008767,1.339001667,1.00425825,0.987434367,0.977517767,1.0956115,1.055775667,0.8885051,1.090607,1.344419667,1.223931,0.983823433,1.440658333,1.206223333,1.4522935,1.214479,0.8677185,0.550329067,1.005265633,0.8737731,1.532646667,1.036746333,1.505595333,1.491054444,0.839596067,0.891614033,1.185362,1.443010222,1.199517,1.037982222,1.064734333,0.738260733,0.856787467,1.040848667,0.968374233,0.7521053,0.661648433,1.112778,0.8126788,1.124661,1.291537667,1.3616625,1.269375667,1.417446333,0.698203633,0.697059667,0.6746854,0.715521525,1.058116733,1.370977
1259.31,2.278636333,1.365892333,1.288334333,0.741198311,1.152304667,1.430351111,1.055087,0.985796033,0.4396592,1.271226,0.927610633,1.128088,2.17877875,0.86530955,1.11919075,1.392692,1.152310778,0.5233998,1.71760975,1.074142667,1.034537444,0.7564775,1.954539333,1.071917667,0.991723667,1.156623333,2.107028667,0.820136167,0.934953167,0.8648858,1.092986,0.575279533,0.862172367,1.483794667,1.047538333,1.192011333,1.136023667,0.762219775,0.8881848,1.451238667,0.652488333,1.021655333,2.535191,0.692333533,1.428644333,0.5544725,0.5778522,0.805166075,0.89364765,0.7185119,0.695575,1.355390667,0.773623533,1.3688495,1.240827333,2.1356575,0.8044356,1.0721485,0.715724667,0.850923333,1.0320675,1.135903667,1.035741,0.974481533,0.9950805,1.096062667,1.020743333,1.798995,1.165986,1.142916,0.952646033,0.6686935,0.525977933,0.7177328,0.964130256,1.063859333,1.296953667,0.9412177,0.793771333,0.9361609,1.137551,1.205187644,0.8295285,0.785352167,1.153246333,0.7297843,1.199499333,0.850292367,1.303298667,0.98052505,0.9564152,0.9510485,1.071242,1.028083433,0.8635145,1.066252,1.305571,1.1982985,0.956460567,1.391867333,1.172448333,1.4113285,1.18152,0.8334732,0.5373431,0.9778909,0.837109233,1.487960333,1.001657667,1.455012667,1.436973889,0.8256996,0.868361933,1.165211,1.388508778,1.173937,1.005800756,1.037227667,0.7151872,0.820720667,1.015836333,0.938025267,0.72656,0.6373441,1.0877705,0.7905937,1.073727,1.252806667,1.294894,1.216724333,1.369267,0.688441367,0.6716896,0.649888533,0.6995978,1.021693167,1.306656
1261.238,2.169080667,1.313962333,1.239378333,0.724247067,1.117229333,1.385942444,1.034402,0.963826233,0.423671367,1.219359,0.891370533,1.097397667,2.10976125,0.837633625,1.092008583,1.34229825,1.125038667,0.506132433,1.68037825,1.041201333,0.995261711,0.728002333,1.865296667,1.030411667,0.966266233,1.134307833,2.056518667,0.7893705,0.9126901,0.834356833,1.052610667,0.561362533,0.834621067,1.442049667,1.023748333,1.169762667,1.106058333,0.739842925,0.866909267,1.384626,0.629526467,1.002748167,2.498713333,0.6688866,1.395029333,0.5402608,0.568010033,0.7791288,0.8757238,0.7065639,0.672253167,1.31882,0.764970367,1.336584,1.211291333,2.0936585,0.794295875,1.035153,0.694803567,0.8302204,1.016004,1.108836,0.98827965,0.953722811,0.9628653,1.067388,0.9957024,1.740732,1.144377333,1.091079333,0.925059333,0.6468188,0.508705233,0.688309933,0.9355094,1.038731667,1.262111,0.8945824,0.7717962,0.920957033,1.099123,1.168715278,0.8040767,0.7656076,1.118743333,0.7112292,1.165406667,0.828681467,1.269591,0.95693945,0.927246633,0.926171967,1.0480385,1.0016899,0.839945767,1.042608,1.268446667,1.170685,0.930579667,1.346831333,1.140869,1.37073,1.150163667,0.8021831,0.525447833,0.952098067,0.802727833,1.444012333,0.9700647,1.40771,1.386241889,0.811417933,0.846719133,1.1449685,1.331813778,1.151044667,0.977308067,1.0101492,0.6936728,0.787424833,0.992142767,0.9099405,0.702741633,0.614903867,1.063484,0.76944465,1.026919667,1.215639,1.23428625,1.166219333,1.322633333,0.679868367,0.6477375,0.6268752,0.686117675,0.9875005,1.250508333
1263.167,2.091614667,1.264020667,1.193545667,0.706224867,1.087052667,1.344735889,1.01351055,0.942792567,0.409014967,1.171808333,0.8584115,1.069723667,2.0416875,0.8118481,1.068935,1.2963025,1.096177333,0.4903683,1.6433575,1.010901,0.960458144,0.702347833,1.792412,0.993107367,0.942675367,1.1098945,2.008914333,0.761686033,0.8917306,0.806541,1.016363667,0.548452267,0.808486233,1.402827,1.001438633,1.148818667,1.078343333,0.719041575,0.846585767,1.327015333,0.608639167,0.983417767,2.460364,0.646711633,1.364654333,0.52702725,0.559209267,0.75523405,0.8599385,0.69287165,0.6504672,1.284445667,0.7565256,1.3125685,1.184048333,2.0536335,0.784726425,1.00166275,0.675064033,0.8112392,0.994246,1.083586333,0.94508275,0.933644789,0.93332935,1.041390967,0.972005167,1.6873275,1.123400333,1.046593333,0.8999102,0.6265699,0.492838633,0.6612622,0.9092216,1.015480333,1.229743333,0.8538761,0.7513818,0.906856567,1.063989667,1.133878733,0.7806478,0.747327567,1.088664,0.693769133,1.133607667,0.8084745,1.237661,0.9352167,0.900239633,0.903168033,1.02600635,0.9772496,0.8178098,1.019714,1.235696667,1.1436145,0.9065114,1.307795667,1.111544333,1.3323745,1.121143333,0.773535533,0.514085967,0.9280543,0.771265267,1.402176667,0.941769233,1.364012667,1.340797111,0.797938233,0.827024267,1.125848,1.280867,1.130212,0.951523733,0.984579133,0.673815,0.757084233,0.9700977,0.8843475,0.680909367,0.5944416,1.040863,0.74950985,0.984980033,1.181451333,1.18189175,1.120411667,1.280272333,0.6721363,0.625514933,0.605926167,0.674492475,0.956251033,1.202466
1265.095,2.007055,1.215280333,1.150167333,0.687959011,1.060872333,1.314616111,0.99247065,0.922049933,0.3953918,1.126323333,0.8274662,1.043352333,1.96975925,0.78717195,1.047766833,1.25283925,1.068492111,0.475744,1.60567025,0.9822426,0.929772978,0.678772167,1.719871667,0.958631333,0.920411033,1.08591075,1.963188333,0.7361753,0.871391233,0.780408533,0.982709733,0.5364234,0.783296367,1.365723333,0.9796915,1.128361,1.051913333,0.699418925,0.827172667,1.274129,0.589292633,0.963605667,2.417240333,0.625252133,1.336104333,0.5145745,0.550840267,0.732808875,0.84292335,0.680245,0.6296003,1.251496,0.7481605,1.2900855,1.157503667,2.002353,0.775391125,0.970422,0.656203167,0.793469067,0.96936545,1.059555,0.90699745,0.9117221,0.90592255,1.017411267,0.9490754,1.633547,1.102908333,1.0061662,0.876410567,0.6074581,0.478018233,0.6357886,0.885190767,0.993483833,1.198741333,0.8177034,0.732006367,0.891984467,1.030737667,1.101941833,0.758521067,0.729892633,1.060515667,0.677082267,1.103232333,0.789201433,1.206884,0.9136779,0.874727133,0.8812733,1.00453755,0.953928133,0.7964869,0.99767975,1.205314333,1.1160455,0.8836351,1.272709778,1.083496667,1.29543,1.093330333,0.748199367,0.503049467,0.905141733,0.7417302,1.361844667,0.915753467,1.322287667,1.299494111,0.7860738,0.8085376,1.107446,1.236078667,1.109185333,0.924273744,0.9601932,0.6552128,0.728542267,0.948985367,0.859991267,0.6604182,0.575368033,1.01818415,0.7304872,0.9466799,1.148285333,1.13481025,1.077928,1.241303333,0.664969467,0.604953233,0.586370933,0.6643305,0.926991533,1.158273333
1267.024,1.933904,1.1694,1.111221333,0.671819489,1.036612667,1.278529,0.97315025,0.902429733,0.382855667,1.084245333,0.798918433,1.019033333,1.90250175,0.76391735,1.027401417,1.21294725,1.045220667,0.462278933,1.56826975,0.955626933,0.900600478,0.6573099,1.658425333,0.927197867,0.899853167,1.062870083,1.920327333,0.7127526,0.8518701,0.7561352,0.952061833,0.525323433,0.760827733,1.331774333,0.9586635,1.108545,1.0268,0.680946525,0.808996867,1.226189,0.5715925,0.945593233,2.375237,0.6050593,1.309182333,0.502943,0.5428931,0.711953375,0.82736475,0.6695463,0.610300533,1.220291333,0.7401112,1.264398,1.132513,1.952773,0.766382875,0.94208,0.638525967,0.777316933,0.946926,1.037013333,0.8735394,0.891205122,0.88019915,0.995354833,0.927454767,1.5819475,1.083504667,0.970400433,0.8547133,0.589693833,0.464264933,0.6121418,0.860007356,0.9726665,1.169638,0.785554,0.7138156,0.877960833,1.000721333,1.073545433,0.737969167,0.7139722,1.034143,0.661293933,1.074707333,0.771083867,1.177864667,0.8933582,0.851038333,0.860777367,0.9847397,0.931948767,0.776083133,0.97703465,1.177561667,1.08802,0.8621784,1.236308778,1.057666333,1.2616095,1.067298667,0.7262016,0.493076667,0.883961367,0.7145293,1.324316667,0.8921137,1.284592,1.258077556,0.7756822,0.790708867,1.0898065,1.193987111,1.088926667,0.899255833,0.9371922,0.637890767,0.702170333,0.9290861,0.837277767,0.641177633,0.557626567,0.9961495,0.7130214,0.912663367,1.116870333,1.09365475,1.039041333,1.205924333,0.658702433,0.586235133,0.568274033,0.6560307,0.899796833,1.118434333
1268.952,1.863773333,1.125003,1.074605333,0.656036367,1.014287333,1.248815444,0.95456065,0.883826267,0.371150933,1.044653,0.7721592,0.995920967,1.8337675,0.7416864,1.004266592,1.17511175,1.023705333,0.449645567,1.5318305,0.930367967,0.872957511,0.6373029,1.600330667,0.897957967,0.880035567,1.044018083,1.877751333,0.690892233,0.8329753,0.7332276,0.923375767,0.5147364,0.739624367,1.299777333,0.938500733,1.089259667,1.0028555,0.663319025,0.7914916,1.181214333,0.5550492,0.929241633,2.331841333,0.585909133,1.283289333,0.49189825,0.535387133,0.6923234,0.813456,0.6574706,0.591957067,1.190261667,0.7318681,1.2376855,1.108751667,1.9013715,0.757843575,0.9150593,0.621465133,0.7626194,0.92638225,1.015973667,0.8414889,0.872495967,0.85551055,0.9745463,0.9065337,1.5323815,1.064361333,0.9389782,0.834189367,0.5729396,0.4513028,0.5897534,0.836875367,0.9525877,1.141943333,0.7560603,0.696484933,0.864715533,0.9735847,1.041996011,0.718594867,0.6991709,1.0092057,0.6461867,1.047357333,0.753831067,1.149999667,0.87418515,0.828545967,0.8412614,0.9657796,0.910781967,0.7564972,0.95677885,1.151638,1.059723,0.8417214,1.200222667,1.033762667,1.2287825,1.042261,0.706279067,0.4837546,0.863544967,0.688773733,1.28804,0.869641233,1.248511667,1.221900333,0.766224033,0.773385033,1.072634,1.153797333,1.069619667,0.875332011,0.914848367,0.621533967,0.677466667,0.910125667,0.815854167,0.622484167,0.540963133,0.97436395,0.6967017,0.8813205,1.086909667,1.0559545,1.002354967,1.172492,0.6530276,0.568807633,0.5513281,0.6490844,0.874057633,1.080888333
