Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
451.2686,0.354757567,1.3806214,0.958119075,0.501156033,0.558277067,2.263864333,1.1794824,0.5859743,0.331403133,2.981056,0.64346325,0.6487644,3.479909667,0.374355233,0.2711214,1.052288433,0.42573125,0.673407267,1.74099205,0.595309733,0.699575633,0.97663605,0.9123945,0.9456461,0.474766811,0.4801752,0.3688718,2.4508424,0.828558,0.7018526
453.1971,0.3395932,0.8251694,0.941436125,0.500734867,0.5927165,1.681016667,1.192645533,0.5930192,0.349306433,3.8315015,0.68573895,-0.01716705,5.301007667,0.379493433,0.261801267,0.9909518,0.48093235,0.663861733,1.49002915,0.552168733,0.713713333,0.91623625,0.915035633,1.0056118,0.472240167,0.484736467,0.349911667,1.5611915,0.7953065,0.712755325
455.1256,0.336630567,0.870065525,0.912586525,0.497410833,0.605253033,1.626049667,1.067104733,0.570390675,0.373614033,4.4535305,0.69139685,0.3376069,5.406479,0.378764667,0.262684967,1.010712767,0.4742824,0.667386,1.22742825,0.5810219,0.721953233,0.8350698,0.9329623,1.0252888,0.467885289,0.4770389,0.3443722,2.77358715,0.8372973,0.7049708
457.0541,0.336727233,0.808694425,0.907988225,0.497896233,0.686192,1.617213667,1.0368562,0.545327625,0.399394833,3.7168195,0.69018085,1.1874117,4.103327033,0.3713059,0.261586467,1.017965067,0.43285655,0.663825167,0.9774321,0.5858094,0.7195282,0.86240545,0.942871467,1.062288433,0.452895933,0.474068833,0.342220467,2.6401194,0.848572567,0.7188102
458.9826,0.3333677,0.8191024,0.907652075,0.496457667,0.6578585,1.752059333,1.026052033,0.527853325,0.4091348,3.0069495,0.69382975,1.19240595,3.398511333,0.365885833,0.255741467,0.9802839,0.4241749,0.6790754,0.8351783,0.5656194,0.710252,0.91676255,0.938802233,1.031803433,0.471566211,0.471592833,0.343690667,1.896004085,0.8962378,0.720271075
460.9111,0.3337985,0.79498905,0.8999248,0.493747533,0.588097867,1.763968667,1.044140167,0.521064075,0.410239033,2.6742265,0.67875925,1.2686593,2.173875,0.3645368,0.2504874,0.933121433,0.39441645,0.689250367,0.76176825,0.547586033,0.704210733,0.9179182,0.929345,1.023856667,0.470632044,0.4655097,0.3415334,1.699363,0.908339967,0.716554125
462.8396,0.331564033,0.7584633,0.901781275,0.4899424,0.6385388,1.729897,0.909026633,0.517626275,0.400918333,2.244021,0.63972795,1.0026895,1.0033842,0.359838233,0.245663467,0.923295033,0.67395645,0.686506567,0.7101748,0.550405633,0.6985872,0.90851125,0.918649233,1.010406733,0.477795878,0.461156867,0.331456067,1.145551,0.904522933,0.71477345
464.7681,0.330228933,0.82395445,0.904485725,0.487813833,0.673266867,1.750511667,0.943844633,0.5132407,0.392499833,1.8963735,0.601586,0.91500747,1.0764922,0.3559383,0.243866533,0.9270981,0.74836405,0.685411333,0.66520235,0.554857633,0.694053867,0.9275807,0.9176929,0.977179367,0.4718401,0.456845267,0.331157367,1.0570668,0.9053411,0.709737875
466.6966,0.329232033,0.8098418,0.910215425,0.484042933,0.617025633,1.634817333,1.080111,0.5078611,0.380977933,1.3473345,0.58174285,1.339266,0.843728377,0.3524533,0.241306433,0.9314227,0.54833805,0.680902533,0.66267315,0.552910433,0.685974433,0.9709029,0.913438,0.932989367,0.431791211,0.452898267,0.331810333,1.5094615,0.880906833,0.7086165
468.6251,0.324638067,0.6994223,0.9177222,0.480079567,0.722069867,1.582877667,1.189112333,0.509488075,0.354949767,0.93731605,0.5695645,1.1763754,0.388356067,0.349252233,0.238133267,0.9183355,0.84639153,0.682914633,0.73205085,0.534930267,0.680580733,0.9768917,0.9058905,0.9044195,0.418108344,0.4508044,0.3296043,2.35902445,0.8527973,0.70122245
470.5536,0.317554633,0.78229025,0.925545825,0.476286133,0.758276033,1.703691667,1.250466333,0.5116649,0.323891333,0.8889016,0.56724455,0.323574025,0.45189737,0.343939667,0.234803467,0.909614067,0.835227615,0.690288033,0.7463676,0.513742033,0.676257733,0.96502135,0.901115433,0.873646667,0.428102567,0.448813,0.321650133,2.3555759,0.831597867,0.69398935
472.4821,0.310985733,0.912292075,0.930084975,0.472737633,0.786673667,1.783869667,1.291228967,0.50785665,0.3033907,0.63906465,0.5633377,0.312996,0.522527533,0.3382827,0.2307162,0.919972633,0.86135605,0.696393867,0.7957241,0.500218667,0.6719596,0.93871775,0.8975262,0.855213,0.449003356,0.445848,0.316264033,2.3644776,0.813831967,0.680165725
474.4106,0.304497667,1.011920875,0.93329555,0.469408233,0.824355167,1.722915,1.310929333,0.502288975,0.2962803,0.7106513,0.55377325,0.229457,0.6154638,0.332428633,0.225902033,0.930130433,0.41855645,0.6931683,0.8233898,0.4814275,0.66689,0.90080635,0.891557033,0.8379173,0.459222856,0.443625867,0.309875767,2.4684274,0.7984799,0.673023275
476.3391,0.2988165,1.123040925,0.9384633,0.466291467,0.850923567,1.6663183,1.3010994,0.49215305,0.287802067,0.94347785,0.56028155,0.25705585,0.4260329,0.323896533,0.2207808,0.9498979,0.36605165,0.6840955,0.84725585,0.4644578,0.662163733,0.87702655,0.893915067,0.819994533,0.425961978,0.440295233,0.3036381,2.31725055,0.783848733,0.667473875
478.2676,0.292727,1.2076765,0.943396075,0.462842567,0.834794433,1.888737,1.269006567,0.474777125,0.286109367,1.07578765,0.57050085,0.69646965,0.3487143,0.312083867,0.213032367,0.967105967,0.68396715,0.6731358,0.86277865,0.442635667,0.653773567,0.8452754,0.8935623,0.798807,0.396062467,0.4341742,0.301352833,0.7743457,0.7856322,0.666380825
480.1961,0.2861373,1.30313625,0.9553333,0.459742633,0.7874839,2.166523333,1.232146367,0.4637516,0.305389667,0.9748504,0.57465135,-0.0624155,0.935273567,0.3014001,0.205091967,0.9800811,0.59649195,0.6684305,0.85680945,0.4155758,0.647898133,0.8124339,0.8872898,0.774731967,0.4003078,0.4274978,0.302287433,0.46358635,0.8011358,0.65726205
482.1246,0.282833667,1.38202775,0.9649945,0.457247933,0.712358267,2.402021667,1.1957457,0.459746025,0.328980967,1.49992525,0.5566468,0.4842429,1.030718543,0.291552233,0.1973765,0.9797671,0.410404375,0.665038467,0.65460645,0.384137733,0.644342,0.78506095,0.878124733,0.764646833,0.386399833,0.4220358,0.299274067,0.568026,0.824126667,0.65258405
484.0531,0.281707067,1.3923275,0.963271275,0.4545868,0.638562633,2.560730667,1.117221967,0.457522275,0.343353933,1.7855564,0.54267115,0.078119895,1.2375594,0.282519267,0.189557267,0.963911,0.35992528,0.6590666,0.5763014,0.351175933,0.639387633,0.76141455,0.869460133,0.781767467,0.388091678,0.417791733,0.2915993,0.70819265,0.8472661,0.646107075
485.9816,0.2794798,1.321194025,0.95469025,0.451616833,0.5789838,2.630298667,1.025360667,0.459224175,0.353477367,1.93207665,0.52295485,0.429134922,0.7784945,0.273696933,0.1823251,0.9318221,0.40961385,0.6486315,0.7894406,0.320380667,0.630784767,0.7293165,0.856769433,0.8070423,0.392001011,0.414437033,0.2810153,0.51337955,0.865038533,0.644679125
487.9101,0.276653,1.13964395,0.947799625,0.448444,0.551896133,2.60725,0.903397833,0.454614225,0.359945233,1.89997505,0.48313785,1.428802,1.913520667,0.264879433,0.176036633,0.908843633,0.3297757,0.639967033,0.9714033,0.308651,0.625161367,0.73202705,0.839418667,0.810608033,0.380351611,0.411086567,0.2689928,0.4596494,0.870154433,0.64018935
489.8386,0.274018733,1.0239058,0.94437305,0.445423333,0.538492367,2.509678667,0.758710933,0.44775135,0.364378667,0.94904975,0.4417096,1.235624,2.391142233,0.258541733,0.169499667,0.887404333,0.2681933,0.627590633,0.8674782,0.300444767,0.619250667,0.7502724,0.822024867,0.788167467,0.402945244,0.405708067,0.2591691,0.53795195,0.866892267,0.637030475
491.7671,0.271092067,1.000240475,0.940797025,0.442334933,0.504116633,2.345648667,0.828647833,0.443147,0.354592033,1.5849077,0.4193925,1.02232755,2.955657667,0.2535679,0.164122867,0.8651598,0.33149415,0.6140193,0.8893547,0.2851126,0.6117471,0.7770467,0.812531467,0.767408267,0.395879078,0.3976384,0.2535075,0.73488135,0.864205633,0.629934625
493.6956,0.265616533,0.9813475,0.934911125,0.437601633,0.463680167,2.1139,0.8491004,0.441583075,0.334567867,1.5606475,0.4203858,0.4157984,2.927298667,0.248110867,0.1592723,0.835452767,0.2814369,0.602549567,1.25388725,0.2623084,0.599510667,0.79545775,0.804237267,0.774902767,0.374373133,0.389090733,0.2498815,0.7111715,0.851469767,0.630905725
495.6241,0.2564067,0.960012575,0.925016725,0.433785133,0.4491284,2.066996667,0.872064367,0.442030825,0.3198406,1.312148,0.44210175,-0.071463915,3.060884333,0.243819767,0.154849567,0.805685467,0.23380565,0.6010506,1.70162845,0.232548367,0.585696533,0.8011922,0.7948396,0.776561133,0.374125789,0.381954167,0.241799467,0.5130819,0.838206333,0.628730225
497.5526,0.246919867,0.8189005,0.914119725,0.429305933,0.448554367,2.032212,0.889914033,0.4361075,0.289533333,0.80697295,0.46997025,0.1342123,1.532829267,0.237666433,0.149043667,0.7912659,0.18319945,0.600351467,1.71466215,0.207341883,0.572614033,0.8069644,0.782821467,0.764411167,0.334036178,0.375495067,0.2312858,0.4752374,0.815733433,0.62687865
499.4811,0.237207433,1.13997985,0.897006725,0.423898567,0.461413067,1.792491667,0.907843833,0.42491565,0.274628633,0.692327,0.4870086,0.35125469,1.198135633,0.231090233,0.1413053,0.786134567,0.085105618,0.5923335,1.6689924,0.185925533,0.560247533,0.790062,0.773787733,0.7583211,0.316329656,0.369063967,0.2260301,0.74733255,0.785431467,0.622944825
501.4096,0.227952167,1.143265525,0.878908675,0.418629633,0.461600567,1.435061333,0.9012041,0.415454525,0.2651237,0.59462485,0.49503115,0.3285757,2.200246533,0.223451333,0.132503603,0.783926433,0.1286221,0.576279167,1.3639787,0.162060867,0.547495833,0.74879175,0.7714447,0.745187333,0.332325778,0.361325033,0.2230462,0.65269865,0.7657949,0.6253497
503.3381,0.219387467,1.162430275,0.8642354,0.4130772,0.443772167,1.405826,0.885074,0.402246075,0.230518133,1.475764,0.5000114,1.07911655,2.636717,0.214208767,0.122614597,0.786954133,0.2215273,0.5560805,1.16386795,0.078625907,0.538013533,0.7087855,0.7737922,0.706571367,0.342976889,0.3517259,0.222745267,0.9216871,0.758354433,0.6227078
505.2666,0.2131445,1.14589185,0.858825275,0.4072258,0.434211033,1.497236,0.886132667,0.38671765,0.2124561,1.6360215,0.49858945,1.33047205,1.662151333,0.203522533,0.110733913,0.794875833,0.20830615,0.537170533,0.8542935,0.1095897,0.5300381,0.65701775,0.773324867,0.675715533,0.335744222,0.342577967,0.226032267,1.4469504,0.7483833,0.62701285
507.1951,0.208148167,0.870664475,0.859407275,0.402063867,0.438091333,1.636145,0.8987093,0.381049425,0.208497733,1.109183,0.48067145,1.72206795,1.699902067,0.194033367,0.09904186,0.8035046,0.140299697,0.530109967,0.96920025,0.08621651,0.5251396,0.59539375,0.769847333,0.666734767,0.333302522,0.3371317,0.2271822,2.109322,0.732943467,0.62780805
