Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24
1251.596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1253.524,0.958210548,0.969249893,0.945235638,0.944298039,0.958186682,0.979323242,0.945463284,0.960597115,0.958423901,0.92529862,0.975861616,0.963676129,0.966968698,0.955910684,0.963436816,0.964726115,0.947001726,0.949525648,0.93669701,0.959135946,0.962518251,0.934335201,0.94935714,0.952569159,0.963098271,0.928499568,0.958243367,0.962323517,0.957043003,0.960530581,0.968285134,0.959413284,0.964668113,0.964841735,0.967411067,0.960978326,0.958388832,0.955875171,0.954353352,0.965093844,0.960820151,0.945090275,0.960096015,0.961998284,0.946716352,0.949089836,0.957532587,0.947558902,0.967664455,0.934640448,0.958028981,0.915943339,0.945681575,0.960447265,0.94242237
1255.453,0.924525512,0.939726373,0.896239482,0.895840205,0.919461636,0.958326258,0.897403534,0.924249345,0.919877532,0.864902615,0.955185993,0.929846675,0.936696891,0.915683901,0.929739238,0.930476945,0.887831008,0.905878383,0.883677549,0.91875955,0.927393116,0.880729668,0.90376836,0.909850353,0.92874767,0.869186143,0.91969557,0.923724862,0.918213241,0.92380239,0.938190532,0.921698907,0.931742351,0.932530737,0.936363257,0.931613147,0.920278196,0.917561987,0.911670968,0.931451108,0.925011225,0.895915659,0.923202238,0.926127471,0.902173307,0.899556338,0.918572001,0.900010917,0.937633242,0.878575408,0.919516002,0.847200206,0.896980586,0.923322463,0.890004245
1257.381,0.904146705,0.910881989,0.850970981,0.852433029,0.888206177,0.936006425,0.853641402,0.889710798,0.883429039,0.810600828,0.935790546,0.897539347,0.906882953,0.878313588,0.897584065,0.896751665,0.828640529,0.865662883,0.83714239,0.882124328,0.893162662,0.833696697,0.861958886,0.870127636,0.896136865,0.815707834,0.883521722,0.886881161,0.880795027,0.888381021,0.909190068,0.885973454,0.900373211,0.901530552,0.906176386,0.904862936,0.884257369,0.879395779,0.872433462,0.898943336,0.89090315,0.851150048,0.887965839,0.890673083,0.861990354,0.856981813,0.882387029,0.856285076,0.907521227,0.828496166,0.883767113,0.785789313,0.852259644,0.886832746,0.840063948
1259.31,0.88216458,0.883582848,0.810148485,0.813887031,0.858970882,0.912555354,0.814679998,0.857248623,0.849360484,0.766932074,0.916018382,0.867735586,0.878158964,0.843949555,0.867372999,0.86542947,0.818090873,0.829775122,0.796139668,0.849987453,0.861130962,0.790936114,0.823905292,0.833889142,0.866163636,0.768924062,0.850232071,0.854265957,0.846477274,0.855079676,0.880987616,0.852941427,0.871091782,0.87246783,0.877589912,0.879250341,0.850948714,0.842346323,0.837093548,0.86798877,0.859201915,0.81141993,0.855433796,0.857483043,0.827566037,0.820955774,0.849415276,0.816710193,0.878022599,0.784506075,0.850571471,0.7365858,0.812488391,0.852985467,0.796454948
1261.238,0.847682718,0.857154709,0.771418065,0.778351058,0.826510214,0.888061202,0.778769856,0.826538279,0.817075602,0.726522749,0.896906041,0.839504922,0.850004241,0.811990667,0.838743743,0.835305247,0.79879024,0.796071956,0.757042449,0.819720286,0.830801094,0.750167932,0.788720247,0.799949124,0.837953032,0.726306729,0.819088336,0.82321623,0.814893212,0.823406903,0.852960558,0.821897034,0.843211372,0.844768081,0.849837968,0.851658284,0.819444049,0.808148226,0.804051034,0.837311144,0.829042187,0.775118324,0.824781677,0.824841388,0.795373941,0.783479772,0.818671501,0.780175799,0.849374457,0.744080056,0.818715734,0.691922311,0.774338415,0.82022406,0.758387387
1263.167,0.815687188,0.831852673,0.735910762,0.746032402,0.794493416,0.8637057,0.746531487,0.798134217,0.787063821,0.691574319,0.876813047,0.812805736,0.824563226,0.782661575,0.811999876,0.806990202,0.780396757,0.765562098,0.721458154,0.792279459,0.802098731,0.715180856,0.756399472,0.768748882,0.81184897,0.689107569,0.790156514,0.793559114,0.787358576,0.793864993,0.827147148,0.793189532,0.816738411,0.81911823,0.82296633,0.824608805,0.790145891,0.778506484,0.773367653,0.808328407,0.801129314,0.741882487,0.796208143,0.793768634,0.765635476,0.749803406,0.790294985,0.746884082,0.822690924,0.707858117,0.7894141,0.653311387,0.739736664,0.790464316,0.725815162
1265.095,0.792300176,0.80690073,0.701945945,0.715688353,0.76066375,0.838911715,0.716599412,0.771047104,0.758752646,0.659491817,0.854218558,0.786967989,0.800650765,0.755136281,0.78638423,0.779848693,0.756830812,0.737101551,0.69008464,0.766968001,0.774325933,0.683385973,0.726209841,0.739364443,0.787153698,0.656051408,0.762697142,0.76637053,0.761591579,0.765645697,0.801552328,0.765866243,0.790942348,0.794642584,0.797103816,0.797061214,0.762298707,0.751864007,0.744020439,0.780411869,0.7743777,0.712488412,0.768978924,0.763812703,0.737239293,0.720197838,0.763712704,0.715565945,0.795939151,0.674779498,0.76098812,0.618615757,0.707645765,0.763087544,0.695852972
1267.024,0.764279726,0.783298996,0.670525222,0.687695255,0.729030855,0.81430638,0.689340926,0.745309393,0.732101028,0.630409915,0.832211063,0.762655339,0.778101859,0.72953765,0.762692355,0.754144586,0.734046331,0.711281785,0.662522915,0.743686623,0.748138772,0.655257133,0.698193927,0.712087263,0.763782267,0.62667191,0.736916711,0.742196051,0.737450028,0.739145399,0.777406179,0.740288571,0.767154034,0.771575459,0.772871806,0.769057477,0.736179594,0.724222899,0.716993297,0.754855934,0.749339441,0.686967425,0.743808245,0.735939397,0.711585296,0.692374869,0.738959762,0.686628912,0.769947271,0.64540049,0.734062889,0.588287156,0.678271932,0.738232844,0.668842525
1268.952,0.741208131,0.760920322,0.640960611,0.66145594,0.696703407,0.79033344,0.663827311,0.720769575,0.706668416,0.603126877,0.809474061,0.739598084,0.756414807,0.705443264,0.740174409,0.729408358,0.71042478,0.686665734,0.636120686,0.721722449,0.722798934,0.630544369,0.671789644,0.68626168,0.741239979,0.599719304,0.712355236,0.715337334,0.714622412,0.713736699,0.754622609,0.715933837,0.744372326,0.749361114,0.749096733,0.740782451,0.71127741,0.696820903,0.691982089,0.730050721,0.72525725,0.663854046,0.719545462,0.708995499,0.687030622,0.665808995,0.715586125,0.659522412,0.744249227,0.618330644,0.708384142,0.560504823,0.650560141,0.714745729,0.64338671
