Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1276.666,0.0,0.0,0.0,0.0
1278.594,0.0,0.0,0.0,0.0
1280.523,0.0,0.0,0.0,0.0
1282.452,0.0,0.0,0.0,0.0
1284.38,0.0,0.0,0.0,0.0
1286.308,0.0,0.0,0.0,0.0
1288.237,0.0,0.0,0.0,0.0
1290.166,0.0,0.0,0.0,0.0
1292.094,0.0,0.0,0.0,0.0
1294.022,0.0,0.0,0.0,0.0
1295.951,0.0,0.0,0.0,0.0
1297.88,0.0,0.0,0.0,0.0
1299.808,0.0,0.0,0.0,0.0
1301.736,0.0,0.0,0.0,0.0
1303.665,0.0,0.0,0.0,0.0
1305.594,0.0,0.0,0.0,0.0
1307.522,0.0,0.0,0.0,0.0
1309.45,0.0,0.0,0.0,0.0
1311.379,0.0,0.0,0.0,0.0
1313.307,0.0,0.0,0.0,0.0
1315.236,0.0,0.0,0.0,0.0
1317.164,0.0,0.0,0.0,0.0
1319.093,0.0,0.0,0.0,0.0
1321.021,0.0,0.0,0.0,0.0
1322.95,0.0,0.0,0.0,0.0
1324.878,0.0,0.0,0.0,0.0
1326.807,0.0,0.0,0.0,0.0
1328.735,0.0,0.0,0.0,0.0
1330.664,0.0,0.0,0.0,0.0
1332.592,0.0,0.0,0.0,0.0
1334.521,0.0,0.0,0.0,0.0
1336.449,0.0,0.0,0.0,0.0
1338.378,0.0,0.0,0.0,0.0
1340.307,0.0,0.0,0.0,0.0
1342.235,0.0,0.0,0.0,0.0
1344.163,0.0,0.0,0.0,0.0
1346.092,0.0,0.0,0.0,0.0
1348.021,0.0,0.0,0.0,0.0
1349.949,0.0,0.0,0.0,0.0
1351.877,0.0,0.0,0.0,0.0
1353.806,0.0,0.0,0.0,0.0
1355.734,0.0,0.0,0.0,0.0
1357.663,0.0,0.0,0.0,0.0
1359.591,0.0,0.0,0.0,0.0
1361.52,0.0,0.0,0.0,0.0
1363.448,0.0,0.0,0.0,0.0
1365.377,0.0,0.0,0.0,0.0
