Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
FR01MI02a,43.70633333,1.1049,17.10053333,,12.13253333,0.1819,3.617466667,8.1922,1.423133333,7.490966667,0.1438
FR01MI02b,43.70633333,1.1049,17.10053333,,12.13253333,0.1819,3.617466667,8.1922,1.423133333,7.490966667,0.1438
FR01MI02c,43.70633333,1.1049,17.10053333,,12.13253333,0.1819,3.617466667,8.1922,1.423133333,7.490966667,0.1438
FR01MI03a,48.00546667,1.048933333,16.0242,,10.46963333,0.2151,4.6353,7.694933333,2.789133333,3.487733333,0.1865
FR01MI03b,48.00546667,1.048933333,16.0242,,10.46963333,0.2151,4.6353,7.694933333,2.789133333,3.487733333,0.1865
FR01MI03c,48.00546667,1.048933333,16.0242,,10.46963333,0.2151,4.6353,7.694933333,2.789133333,3.487733333,0.1865
FR01MI04a,48.61606667,0.7501,16.8027,,10.8245,0.1925,6.2087,7.913466667,2.785533333,0.582533333,0.1917
FR01MI04b,48.61606667,0.7501,16.8027,,10.8245,0.1925,6.2087,7.913466667,2.785533333,0.582533333,0.1917
FR01MI04c,48.61606667,0.7501,16.8027,,10.8245,0.1925,6.2087,7.913466667,2.785533333,0.582533333,0.1917
FR02MI01a,53.9,0.91,14.44333333,,9.703333333,0.196666667,5.696666667,5.216666667,3.91,1.146666667,0.3
FR02MI01b,53.9,0.91,14.44333333,,9.703333333,0.196666667,5.696666667,5.216666667,3.91,1.146666667,0.3
FR02MI01c,53.9,0.91,14.44333333,,9.703333333,0.196666667,5.696666667,5.216666667,3.91,1.146666667,0.3
FR02MI02a,48.08,1.09,15.145,,11.925,0.235,6.49,7.05,3.15,0.78,0.18
FR02MI02b,48.08,1.09,15.145,,11.925,0.235,6.49,7.05,3.15,0.78,0.18
FR02MI02c,48.08,1.09,15.145,,11.925,0.235,6.49,7.05,3.15,0.78,0.18
FR02MI03a,48.52666667,1.03,15.17333333,,11.96666667,0.233333333,6.41,7.29,3.37,0.72,0.18
FR02MI03b,48.52666667,1.03,15.17333333,,11.96666667,0.233333333,6.41,7.29,3.37,0.72,0.18
FR02MI03c,48.52666667,1.03,15.17333333,,11.96666667,0.233333333,6.41,7.29,3.37,0.72,0.18
FR02MI04a,50.30333333,1.093333333,15.38666667,,10.46333333,0.196666667,5.996666667,6.933333333,3.46,0.813333333,0.196666667
FR02MI04b,50.30333333,1.093333333,15.38666667,,10.46333333,0.196666667,5.996666667,6.933333333,3.46,0.813333333,0.196666667
FR02MI04c,50.30333333,1.093333333,15.38666667,,10.46333333,0.196666667,5.996666667,6.933333333,3.46,0.813333333,0.196666667
FR02MI05a,48.15,1.033333333,14.80333333,,12.98,0.256666667,6.87,6.686666667,3.29,0.716666667,0.193333333
FR02MI05b,48.15,1.033333333,14.80333333,,12.98,0.256666667,6.87,6.686666667,3.29,0.716666667,0.193333333
FR02MI05c,48.15,1.033333333,14.80333333,,12.98,0.256666667,6.87,6.686666667,3.29,0.716666667,0.193333333
FR02MI05d,48.15,1.033333333,14.80333333,,12.98,0.256666667,6.87,6.686666667,3.29,0.716666667,0.193333333
FR02MI06a,49.0475,1.1625,14.2275,,13.55,0.2375,6.38,6.585,3.4475,0.74,0.1925
FR02MI06b,49.0475,1.1625,14.2275,,13.55,0.2375,6.38,6.585,3.4475,0.74,0.1925
FR02MI06c,49.0475,1.1625,14.2275,,13.55,0.2375,6.38,6.585,3.4475,0.74,0.1925
FR02MI07a,44.6625,1.0625,15.8325,,10.0925,0.195,5.09,7.3575,2.9325,4.86,0.185
FR02MI07b,44.6625,1.0625,15.8325,,10.0925,0.195,5.09,7.3575,2.9325,4.86,0.185
FR02MI07c,44.6625,1.0625,15.8325,,10.0925,0.195,5.09,7.3575,2.9325,4.86,0.185
FR02MI08a,49.83,1.043333333,15.14333333,,11.54,0.236666667,6.36,7.026666667,3.056666667,0.763333333,0.19
FR02MI08b,49.83,1.043333333,15.14333333,,11.54,0.236666667,6.36,7.026666667,3.056666667,0.763333333,0.19
FR02MI08c,49.83,1.043333333,15.14333333,,11.54,0.236666667,6.36,7.026666667,3.056666667,0.763333333,0.19
FR02MI09a,48.03666667,0.756666667,17.82666667,,11.13666667,0.203333333,6.893333333,9.003333333,2.746666667,0.5,0.126666667
FR02MI09b,48.03666667,0.756666667,17.82666667,,11.13666667,0.203333333,6.893333333,9.003333333,2.746666667,0.5,0.126666667
FR02MI09c,48.03666667,0.756666667,17.82666667,,11.13666667,0.203333333,6.893333333,9.003333333,2.746666667,0.5,0.126666667
FR02MI10a,46.33,0.956666667,17.60333333,,11.15333333,0.203333333,6.383333333,8.97,2.45,0.49,0.143333333
FR02MI10b,46.33,0.956666667,17.60333333,,11.15333333,0.203333333,6.383333333,8.97,2.45,0.49,0.143333333
FR02MI10c,46.33,0.956666667,17.60333333,,11.15333333,0.203333333,6.383333333,8.97,2.45,0.49,0.143333333
FR04MI01a,47.99666667,1.02,15.04666667,,13.24666667,0.263333333,6.633333333,6.983333333,3.17,0.693333333,0.193333333
FR04MI01b,47.99666667,1.02,15.04666667,,13.24666667,0.263333333,6.633333333,6.983333333,3.17,0.693333333,0.193333333
FR04MI01c,47.99666667,1.02,15.04666667,,13.24666667,0.263333333,6.633333333,6.983333333,3.17,0.693333333,0.193333333
FR04MI02a,47.51,1.01,14.65,,13.355,0.275,6.87,7.185,3.05,0.67,0.175
FR04MI02b,47.51,1.01,14.65,,13.355,0.275,6.87,7.185,3.05,0.67,0.175
FR04MI02c,47.51,1.01,14.65,,13.355,0.275,6.87,7.185,3.05,0.67,0.175
FR04MI03a,48,0.608,19.118,,10.692,0.202,6.598,9.556,2.462,0.446,0.108
FR04MI03b,48,0.608,19.118,,10.692,0.202,6.598,9.556,2.462,0.446,0.108
FR04MI03c,48,0.608,19.118,,10.692,0.202,6.598,9.556,2.462,0.446,0.108
FR04MI04a,49.51333333,1.066666667,14.86666667,,12.18,0.226666667,6.416666667,7.316666667,3.016666667,0.723333333,0.176666667
FR04MI04b,49.51333333,1.066666667,14.86666667,,12.18,0.226666667,6.416666667,7.316666667,3.016666667,0.723333333,0.176666667
FR04MI04c,49.51333333,1.066666667,14.86666667,,12.18,0.226666667,6.416666667,7.316666667,3.016666667,0.723333333,0.176666667
FR04MI05a,48.8925,0.9275,14.9375,,13.3125,0.2675,6.7325,6.9375,2.6175,0.6925,0.18
FR04MI05b,48.8925,0.9275,14.9375,,13.3125,0.2675,6.7325,6.9375,2.6175,0.6925,0.18
FR04MI05c,48.8925,0.9275,14.9375,,13.3125,0.2675,6.7325,6.9375,2.6175,0.6925,0.18
FR04MI07a,47.62,0.79,17.68,,11.06,0.205,6.49,8.525,2.625,0.56,0.145
FR04MI07b,47.62,0.79,17.68,,11.06,0.205,6.49,8.525,2.625,0.56,0.145
FR04MI07c,47.62,0.79,17.68,,11.06,0.205,6.49,8.525,2.625,0.56,0.145
FR04MI08a,48.87666667,1,14.98,,12.79,0.256666667,6.86,6.703333333,2.356666667,0.763333333,0.173333333
FR04MI08b,48.87666667,1,14.98,,12.79,0.256666667,6.86,6.703333333,2.356666667,0.763333333,0.173333333
FR04MI08c,48.87666667,1,14.98,,12.79,0.256666667,6.86,6.703333333,2.356666667,0.763333333,0.173333333
FR04MI08d,48.87666667,1,14.98,,12.79,0.256666667,6.86,6.703333333,2.356666667,0.763333333,0.173333333
FR06MI01a,49.4125,0.9275,15.66,,11.675,0.225,6.1875,6.545,3.6,0.81,0.27
FR06MI01b,49.4125,0.9275,15.66,,11.675,0.225,6.1875,6.545,3.6,0.81,0.27
FR06MI01c,49.4125,0.9275,15.66,,11.675,0.225,6.1875,6.545,3.6,0.81,0.27
FR06MI02a,49.0575,1.105,15.23,,12.045,0.2375,5.9275,6.775,3.4575,0.7875,0.2025
FR06MI02b,49.0575,1.105,15.23,,12.045,0.2375,5.9275,6.775,3.4575,0.7875,0.2025
FR06MI02c,49.0575,1.105,15.23,,12.045,0.2375,5.9275,6.775,3.4575,0.7875,0.2025
