Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness
AC4_EUH33_030920_256s_20x20_a,53.022,0.959,18.284,2.161,7.887,0.232,3.476,7.184,4.475,1.149,0.281,49.59998421
AC4_EUH33_030920_256s_20x20_b,53.022,0.959,18.284,2.161,7.887,0.232,3.476,7.184,4.475,1.149,0.281,49.59998421
AC4_EUH33_030920_256s_20x20_c,53.022,0.959,18.284,2.161,7.887,0.232,3.476,7.184,4.475,1.149,0.281,49.59998421
AC4_EUH102_030920_256s_15x20_a,50.262,0.924,17.597,2.171,7.922,0.209,4.305,9.298,3.571,0.686,0.155,45.626
AC4_EUH102_030920_256s_15x20_b,50.262,0.924,17.597,2.171,7.922,0.209,4.305,9.298,3.571,0.686,0.155,45.626
AC4_EUH102_030920_256s_15x20_c,50.262,0.924,17.597,2.171,7.922,0.209,4.305,9.298,3.571,0.686,0.155,45.626
AC4_OL3_101220_256s_30x30_a,51.868,1.011,18.202,2.163,7.894,0.227,3.519,6.936,4.725,1.135,0.163,49.333
AC4_OL3_101220_256s_30x30_b,51.868,1.011,18.202,2.163,7.894,0.227,3.519,6.936,4.725,1.135,0.163,49.333
AC4_OL3_101220_256s_30x30_c,51.868,1.011,18.202,2.163,7.894,0.227,3.519,6.936,4.725,1.135,0.163,49.333
AC4_OL21_012821_256s_20x20_a,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL21_012821_256s_20x20_b,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL21_012821_256s_20x20_c,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL21_012821_256s_20x25_a,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL21_012821_256s_20x25_b,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL21_012821_256s_20x25_c,50.361,1.248,17.505,2.081,7.593,0.179,3.782,8.234,4.005,0.848,0.197,31.66666667
AC4_OL24_020320_256s_25x25_CO2_a,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL24_020320_256s_25x25_CO2_b,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL24_020320_256s_25x25_CO2_c,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL24_020320_256s_25x30_H2O_a,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL24_020320_256s_25x30_H2O_b,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL24_020320_256s_25x30_H2O_c,52.36,1.103,17.323,1.852,6.757,0.174,3.543,7.29,4.332,0.995,0.215,62.809
AC4_OL27_020520_256s_20x25_a,51.592,0.982,17.52,2.083,7.601,0.223,4.118,7.794,4.129,0.921,0.16,78.963
AC4_OL27_020520_256s_20x25_b,51.592,0.982,17.52,2.083,7.601,0.223,4.118,7.794,4.129,0.921,0.16,78.963
AC4_OL27_020520_256s_20x25_c,51.592,0.982,17.52,2.083,7.601,0.223,4.118,7.794,4.129,0.921,0.16,78.963
AC4_OL29_012821_256s_10x12_a,51.672,0.977,17.88,2.094,7.642,0.187,3.893,7.364,4.23,0.942,0.181,55.54640183
AC4_OL29_012821_256s_12x22_a,51.672,0.977,17.88,2.094,7.642,0.187,3.893,7.364,4.23,0.942,0.181,55.54640183
AC4_OL29_012821_256s_12x22_b,51.672,0.977,17.88,2.094,7.642,0.187,3.893,7.364,4.23,0.942,0.181,55.54640183
AC4_OL29_012821_256s_12x22_c,51.672,0.977,17.88,2.094,7.642,0.187,3.893,7.364,4.23,0.942,0.181,55.54640183
AC4_OL32_MI1_021420_256s_25x30_a,51.71,1.01,16.81,2.067,7.543,0.21,4.27,7.32,3.48,0.79,0.19,79.971
AC4_OL32_MI1_021420_256s_25x30_b,51.71,1.01,16.81,2.067,7.543,0.21,4.27,7.32,3.48,0.79,0.19,79.971
