Sample,Thickness
AC4_EUH33_030920_256s_20x20_a,49.59998421
AC4_EUH33_030920_256s_20x20_b,49.59998421
AC4_EUH33_030920_256s_20x20_c,49.59998421
AC4_EUH102_030920_256s_15x20_a,45.626
AC4_EUH102_030920_256s_15x20_b,45.626
AC4_EUH102_030920_256s_15x20_c,45.626
AC4_OL3_101220_256s_30x30_a,49.333
AC4_OL3_101220_256s_30x30_b,49.333
AC4_OL3_101220_256s_30x30_c,49.333
AC4_OL21_012821_256s_20x20_a,31.66666667
AC4_OL21_012821_256s_20x20_b,31.66666667
AC4_OL21_012821_256s_20x20_c,31.66666667
AC4_OL21_012821_256s_20x25_a,31.66666667
AC4_OL21_012821_256s_20x25_b,31.66666667
AC4_OL21_012821_256s_20x25_c,31.66666667
AC4_OL24_020320_256s_25x25_CO2_a,62.809
AC4_OL24_020320_256s_25x25_CO2_b,62.809
AC4_OL24_020320_256s_25x25_CO2_c,62.809
AC4_OL24_020320_256s_25x30_H2O_a,62.809
AC4_OL24_020320_256s_25x30_H2O_b,62.809
AC4_OL24_020320_256s_25x30_H2O_c,62.809
AC4_OL27_020520_256s_20x25_a,78.963
AC4_OL27_020520_256s_20x25_b,78.963
AC4_OL27_020520_256s_20x25_c,78.963
AC4_OL29_012821_256s_10x12_a,55.54640183
AC4_OL29_012821_256s_12x22_a,55.54640183
AC4_OL29_012821_256s_12x22_b,55.54640183
AC4_OL29_012821_256s_12x22_c,55.54640183
AC4_OL32_MI1_021420_256s_25x30_a,79.971
AC4_OL32_MI1_021420_256s_25x30_b,79.971
AC4_OL32_MI1_021420_256s_25x30_c,79.971
AC4_OL32_MI2_021220_20x35_256s_a,79.971
AC4_OL32_MI2_021220_20x35_256s_b,79.971
AC4_OL32_MI2_021220_20x35_256s_c,79.971
AC4_OL36_MI1_021420_256s_20x25_H2O_a,47.882
AC4_OL36_MI1_021420_256s_20x25_H2O_b,47.882
AC4_OL36_MI1_021420_256s_20x25_H2O_c,47.882
AC4_OL36_MI2_021420_256s_15x20_a,47.882
AC4_OL36_MI2_021420_256s_15x20_b,47.882
AC4_OL36_MI2_021420_256s_15x20_c,47.882
AC4_OL40_021420_256s_15x25_a,75.851
AC4_OL40_021420_256s_15x25_b,75.851
AC4_OL40_021420_256s_15x25_c,75.851
AC4_OL43_101220_256s_30x30_a,68
AC4_OL43_101220_256s_30x30_b,68
AC4_OL43_101220_256s_30x30_c,68
AC4_OL44_021420_256s_25x25_a,55.562
AC4_OL44_021420_256s_25x25_b,55.562
AC4_OL44_021420_256s_25x25_c,55.562
AC4_OL45_012821_256s_20x25_a,29.288
AC4_OL45_012821_256s_20x25_b,29.288
AC4_OL45_012821_256s_20x25_c,29.288
AC4_OL46_021420_256s_30x30_a,73.11
AC4_OL46_021420_256s_30x30_b,73.11
AC4_OL46_021420_256s_30x30_c,73.11
AC4_OL48_021720_256s_25x25_CO2_a,39.616
AC4_OL48_021720_256s_25x25_CO2_b,39.616
AC4_OL48_021720_256s_25x25_CO2_c,39.616
AC4_OL48_021720_256s_25x25_H2O_a,39.616
AC4_OL48_021720_256s_25x25_H2O_b,39.616
AC4_OL48_021720_256s_25x25_H2O_c,39.616
AC4_OL49_021920_30x30_CO2_a,91.254
AC4_OL49_021920_30x30_CO2_b,91.254
AC4_OL49_021920_30x30_CO2_c,91.254
AC4_OL49_021920_30x30_H2O_a,91.254
AC4_OL49_021920_30x30_H2O_b,91.254
AC4_OL49_021920_30x30_H2O_c,91.254
AC4_OL50_021920_20x20_a,49.794
AC4_OL50_021920_20x20_b,49.794
AC4_OL50_021920_256s_20x20_c,49.794
AC4_OL51_021920_15x20_a,55.979
AC4_OL51_021920_15x20_b,55.979
AC4_OL51_021920_15x20_c,55.979
AC4_OL53_101220_256s_30x30_a,39
AC4_OL53_101220_256s_30x30_b,39
AC4_OL53_101220_256s_30x30_c,39
AC4_RH1_OL2_022120_256s_30x30_a,67.802
AC4_RH1_OL2_022120_256s_30x30_b,67.802
AC4_RH1_OL2_022120_256s_30x30_c,67.802
AC4_RH1_OL3_MI1_022120_256s_20x25_a,37.102
AC4_RH1_OL3_MI1_022120_256s_20x25_b,37.102
AC4_RH1_OL3_MI1_022120_256s_20x25_c,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_a,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_b,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_c,37.102
AC4_RH3_OL1BIG_022120_256s_20x25_a,53
AC4_RH3_OL1BIG_022120_256s_20x25_b,53
AC4_RH3_OL1BIG_022120_256s_20x25_c,53
AC4_RH3_OL1SMALL_022120_256s_20x25_a,53
AC4_RH3_OL1SMALL_022120_256s_20x25_b,53
AC4_RH3_OL1SMALL_022120_256s_20x25_c,53
AC4_RH3_OL2_022120_256s_30x30_a,53
AC4_RH3_OL2_022120_256s_30x30_b,53
AC4_RH3_OL2_022120_256s_30x30_c,53
AC4_RH3_OL3_022120_256s_20x20_a,81
AC4_RH3_OL3_022120_256s_20x20_b,81
AC4_RH3_OL3_022120_256s_20x20_c,81
