Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
STD_C1_020320_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020320_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020320_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_CN92C_OL2_020320_256s_20x25_a,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020320_256s_20x25_b,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020320_256s_20x25_c,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_a,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_b,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_c,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_a,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_b,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_c,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_a,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_b,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_c,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021720_256s_20x25_a,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021720_256s_20x25_b,46.26,1.04,17.64,0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
