Sample,Thickness
STD_C1_020320_256s_20x50_a,41
STD_C1_020320_256s_20x50_b,41
STD_C1_020320_256s_20x50_c,41
STD_C1_020520_256s_20x50_a,41
STD_C1_020520_256s_20x50_b,41
STD_C1_020520_256s_20x50_c,41
STD_C1_021220_256s_20x50_a,41
STD_C1_021220_256s_20x50_b,41
STD_C1_021220_256s_20x50_c,41
STD_C1_021420_256s_20x50_a,41
STD_C1_021420_256s_20x50_b,41
STD_C1_021420_256s_20x50_c,41
STD_C1_021720_256s_20x50_a,41
STD_C1_021720_256s_20x50_b,41
STD_C1_021720_256s_20x50_c,41
STD_C1_021920_256s_20x50_a,41
STD_C1_021920_256s_20x50_b,41
STD_C1_021920_256s_20x50_c,41
STD_C1_022120_256s_20x50_a,41
STD_C1_022120_256s_20x50_b,41
STD_C1_022120_256s_20x50_c,41
STD_CN92C_OL2_020320_256s_20x25_a,28
STD_CN92C_OL2_020320_256s_20x25_b,28
STD_CN92C_OL2_020320_256s_20x25_c,28
STD_CN92C_OL2_020520_256s_20x25_a,28
STD_CN92C_OL2_020520_256s_20x25_b,28
STD_CN92C_OL2_020520_256s_20x25_c,28
STD_CN92C_OL2_021220_20x25_a,28
STD_CN92C_OL2_021220_20x25_b,28
STD_CN92C_OL2_021220_20x25_c,28
STD_CN92C_OL2_021420_256s_20x25_a,28
STD_CN92C_OL2_021420_256s_20x25_b,28
STD_CN92C_OL2_021420_256s_20x25_c,28
STD_CN92C_OL2_021720_256s_20x25_a,28
STD_CN92C_OL2_021720_256s_20x25_b,28
STD_CN92C_OL2_021720_256s_20x25_c,28
STD_CN92C_OL2_021920_256s_20x25_a,28
STD_CN92C_OL2_021920_256s_20x25_b,28
STD_CN92C_OL2_021920_256s_20x25_c,28
STD_CN92C_OL2_022120_256s_20x25_a,28
STD_CN92C_OL2_022120_256s_20x25_b,28
STD_CN92C_OL2_022120_256s_20x25_c,28
STD_D1010_020320_256s_100x100_a,231
STD_D1010_020320_256s_100x100_b,231
STD_D1010_020320_256s_100x100_c,231
STD_D1010_020520_256s_100x100_a,231
STD_D1010_020520_256s_100x100_b,231
STD_D1010_020520_256s_100x100_c,231
STD_D1010_021220_256s_100x100_a,231
STD_D1010_021220_256s_100x100_b,231
STD_D1010_021220_256s_100x100_c,231
STD_D1010_021420_256s_100x100_a,231
STD_D1010_021420_256s_100x100_b,231
STD_D1010_021420_256s_100x100_c,231
STD_D1010_021720_256s_80x80_a,231
STD_D1010_021720_256s_80x80_b,231
STD_D1010_021720_256s_80x80_c,231
STD_D1010_021720_256s_50x50_b,231
STD_D1010_021720_256s_100x100_a,231
STD_D1010_021720_256s_100x100_b,231
STD_D1010_021720_256s_100x100_c,231
STD_D1010_021920_256s_100x100_a,231
STD_D1010_021920_256s_100x100_b,231
STD_D1010_021920_256s_100x100_c,231
STD_D1010_022120_256s_100x100_a,231
STD_D1010_022120_256s_100x100_b,231
STD_D1010_022120_256s_100x100_c,231
STD_D1010_030920_256s_100x100_a,231
STD_D1010_030920_256s_100x100_b,231
STD_D1010_030920_256s_100x100_c,231
STD_D1010_031020_256s_100x100_a,231
STD_D1010_031020_256s_100x100_b,231
STD_D1010_031020_256s_100x100_c,231
STD_D1010_012821_256s_100x100_a,231
STD_D1010_012821_256s_100x100_b,231
STD_D1010_012821_256s_100x100_c,231
STD_ETF46_020320_256s_15x15_a,45
STD_ETF46_020320_256s_15x15_b,45
STD_ETF46_020320_256s_15x15_c,45
STD_ETF46_020520_256s_15x15_a,45
STD_ETF46_020520_256s_15x15_b,45
STD_ETF46_020520_256s_15x15_c,45
STD_ETF46_021220_256s_15x20_a,45
STD_ETF46_021220_256s_15x20_b,45
STD_ETF46_021220_256s_15x20_c,45
STD_ETF46_021420_256s_15x20_a,45
STD_ETF46_021420_256s_15x20_b,45
STD_ETF46_021420_256s_15x20_c,45
STD_ETF46_021720_256s_15x20_a,45
STD_ETF46_021720_256s_15x20_b,45
STD_ETF46_021720_256s_15x20_c,45
STD_ETF46_021920_256s_15x20_a,45
STD_ETF46_021920_256s_15x20_b,45
STD_ETF46_021920_256s_15x20_c,45
STD_ETF46_022120_256s_15x20_a,45
STD_ETF46_022120_256s_15x20_b,45
STD_ETF46_022120_256s_15x20_c,45
21ALV1846-9_44x44_s1_EP_103um,103
21ALV1846-9_44x44_s2_EP_103um,103
21ALV1846-9_44x44_s3_EP_103um,103
23WOK5-4_44x44_s1_EP_147um,147
23WOK5-4_44x44_s2_EP_147um,147
23WOK5-4_44x44_s3_EP_147um,147
ALV1833-11_44x44_s1_EP_108um,108
ALV1833-11_44x44_s2_EP_108um,108
ALV1833-11_44x44_s3_EP_108um,108
CD33_12-2-2_VG9764_44x44_s1_EP_105um,105
CD33_12-2-2_VG9764_44x44_s2_EP_105um,105
CD33_12-2-2_VG9764_44x44_s3_EP_105um,105
CD33_22-1-1_VG9812_44x44_s1_EP_73um,73
CD33_22-1-1_VG9812_44x44_s2_EP_73um,73
CD33_22-1-1_VG9812_44x44_s3_EP_73um,73
Fiege63_256s,156
Fiege63_256s_2,156
Fiege63_256s_3,156
Fiege73_2_256s,163.8
Fiege73_256s,163.8
Fiege73_256s_2,163.8
Fiege73_256s_2_highres,163.8
ETFSR_Ol8_256s,38
ETFSR_Ol8_256s_2,38
ETFSR_Ol8_highres_256s,38
STD_C1'_256s_20x50,41
STD_ETFS_15x20_256s_2,45
STD_ETFS_15x25_256s,45
VF74_127-7_101220_256s_15x20_a,27
VF74_127-7_101220_256s_15x20_b,27
VF74_127-7_101220_256s_15x20_c,27
VF74_131-1_101220_256s_25x50_a,35.66666667
VF74_131-1_101220_256s_25x50_b,35.66666667
VF74_131-1_101220_256s_25x50_c,35.66666667
VF74_131-9_MI1_101220_256s_15x30_a,22
VF74_131-9_MI1_101220_256s_15x30_b,22
VF74_131-9_MI1_101220_256s_15x30_c,22
VF74_131-9_MI2_101220_256s_20x25_a,22
VF74_131-9_MI2_101220_256s_20x25_b,22
VF74_131-9_MI2_101220_256s_20x25_c,22
VF74_132-1_101220_256s_40x50_a,65
VF74_132-1_101220_256s_40x50_b,65
VF74_132-1_101220_256s_40x50_c,65
VF74_132-2_101220_256s_20x25_a,36
VF74_132-2_101220_256s_20x25_b,36
VF74_132-2_101220_256s_20x25_c,36
VF74_134D-15_101220_256s_15x25_a,25
VF74_134D-15_101220_256s_15x25_b,25
VF74_134D-15_101220_256s_15x25_c,25
VF74_136-3_101220_256s_20x30_a,32.33333333
VF74_136-3_101220_256s_20x30_b,32.33333333
VF74_136-3_101220_256s_20x30_c,32.33333333
