wavenumber,WOK162DV
2200.473,0.1395
2196.616,0.1407
2192.759,0.1419
2188.902,0.1435
2185.045,0.1455
2181.188,0.1474
2177.331,0.1489
2173.474,0.1504
2169.617,0.1521
2165.76,0.1541
2161.902,0.1563
2158.045,0.1583
2154.188,0.1601
2150.331,0.1618
2146.474,0.1639
2142.617,0.1663
2138.76,0.1688
2134.903,0.1709
2131.046,0.1728
2127.188,0.1749
2123.332,0.1775
2119.474,0.1802
2115.617,0.1827
2111.76,0.185
2107.903,0.1872
2104.046,0.1897
2100.189,0.1925
2096.332,0.1955
2092.475,0.1981
2088.618,0.2005
2084.76,0.203
2080.903,0.2059
2077.046,0.2091
2073.189,0.2121
2069.332,0.2148
2065.475,0.2175
2061.618,0.2205
2057.761,0.2238
2053.904,0.2273
2050.047,0.2306
2046.19,0.2337
2042.332,0.2369
2038.475,0.2406
2034.618,0.2446
2030.761,0.2486
2026.904,0.2526
2023.047,0.2565
2019.19,0.2607
2015.333,0.2655
2011.476,0.2704
2007.619,0.2754
2003.761,0.2802
1999.904,0.2852
1996.047,0.2906
1992.19,0.2964
1988.333,0.3023
1984.476,0.3081
1980.619,0.3138
1976.762,0.3196
1972.905,0.3259
1969.048,0.3323
1965.191,0.3387
1961.333,0.3448
1957.476,0.3509
1953.619,0.3573
1949.762,0.3638
1945.905,0.3703
1942.048,0.3765
1938.191,0.3825
1934.334,0.3885
1930.477,0.3948
1926.62,0.401
1922.762,0.4069
1918.905,0.4126
1915.048,0.4181
1911.191,0.4237
1907.334,0.4292
1903.477,0.4346
1899.62,0.4398
1895.763,0.4447
1891.906,0.4496
1888.049,0.4544
1884.192,0.4591
1880.334,0.4637
1876.477,0.468
1872.62,0.4724
1868.763,0.4767
1864.906,0.4808
1861.049,0.4849
1857.192,0.4888
1853.335,0.4925
1849.478,0.4964
1845.621,0.5002
1841.763,0.5039
1837.906,0.5075
1834.049,0.5108
1830.192,0.5141
1826.335,0.5173
1822.478,0.5205
1818.621,0.5236
1814.764,0.5267
1810.907,0.5295
1807.05,0.5325
1803.193,0.5356
1799.335,0.5384
1795.478,0.5412
1791.621,0.5437
1787.764,0.5461
1783.907,0.5484
1780.05,0.5508
1776.193,0.5533
1772.336,0.5556
1768.479,0.5575
1764.622,0.5593
1760.764,0.5612
1756.907,0.5632
1753.05,0.5651
1749.193,0.5667
1745.336,0.5685
1741.479,0.5704
1737.622,0.572
1733.765,0.5732
1729.908,0.5742
1726.051,0.5753
1722.193,0.5764
1718.336,0.5773
1714.479,0.5779
1710.622,0.5788
1706.765,0.5798
1702.908,0.5809
1699.051,0.5817
1695.194,0.5821
1691.337,0.5829
1687.48,0.5841
1683.623,0.585
1679.765,0.5857
1675.908,0.5865
1672.051,0.5876
1668.194,0.5886
1664.337,0.5896
1660.48,0.5909
1656.623,0.5923
1652.766,0.5936
1648.909,0.5947
1645.052,0.596
1641.194,0.5975
1637.337,0.5991
1633.48,0.6006
1629.623,0.6024
1625.766,0.6043
1621.909,0.6061
1618.052,0.6081
1614.195,0.6098
1610.338,0.6118
1606.481,0.6137
1602.624,0.6158
1598.766,0.6178
1594.909,0.6199
1591.052,0.622
1587.195,0.6238
1583.338,0.6257
1579.481,0.6277
1575.624,0.6296
1571.767,0.6313
1567.91,0.633
1564.052,0.6348
1560.195,0.6365
1556.338,0.6378
1552.481,0.6391
1548.624,0.6407
1544.767,0.6425
1540.91,0.644
1537.053,0.6453
1533.196,0.6466
1529.339,0.6481
1525.482,0.6497
1521.625,0.6515
1517.767,0.653
1513.91,0.6546
1510.053,0.6565
1506.196,0.6583
1502.339,0.6602
1498.482,0.6623
1494.625,0.6644
1490.768,0.6666
1486.911,0.6691
1483.053,0.6717
1479.196,0.6746
1475.339,0.6777
1471.482,0.6809
1467.625,0.6842
1463.768,0.6876
1459.911,0.6912
1456.054,0.6949
1452.197,0.6986
1448.34,0.7025
1444.483,0.7066
1440.625,0.7111
1436.768,0.7159
1432.911,0.7207
1429.054,0.7257
1425.197,0.731
1421.34,0.7368
1417.483,0.7429
1413.626,0.749
1409.769,0.7556
1405.912,0.7628
1402.054,0.77
1398.197,0.7777
1394.34,0.7859
1390.483,0.7946
1386.626,0.8038
1382.769,0.8133
1378.912,0.8233
1375.055,0.834
1371.198,0.8456
1367.341,0.8581
1363.484,0.8714
1359.626,0.8853
1355.769,0.9001
1351.912,0.9157
1348.055,0.9328
1344.198,0.9512
1340.341,0.9708
1336.484,0.9922
1332.627,1.0151
1328.77,1.0398
1324.913,1.066
1321.055,1.0943
1317.198,1.1251
1313.341,1.1579
1309.484,1.193
1305.627,1.2303
1301.77,1.2715
1297.913,1.3166
1294.056,1.3657
1290.199,1.4178
1286.342,1.4725
1282.484,1.5306
1278.627,1.5922
1274.77,1.6571
1270.913,1.7208
1267.056,1.7868
1263.199,1.8502
1259.342,1.9079
1255.485,1.9601
1251.628,2.0016
1247.771,2.0326
1243.914,2.0456
1240.056,2.0514
1236.199,2.0529
1232.342,2.046
1228.485,2.0382
1224.628,2.0294
1220.771,2.0244
1216.914,2.0123
1213.057,2.0037
1209.2,1.9971
1205.343,1.9904
